t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,7.400352576242707414e+01,-2.400352576242707414e+01,0.000000000000000000e+00,3.062999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,7.347982089856667187e+01,-2.299036395249140696e+01,-4.894569460752664081e-01,3.076000000000000156e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,7.424523569959340819e+01,-2.450314716509782542e+01,2.579114655044189020e-01,3.057000000000000028e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,4.999999999999999289e+01,7.440637565770430228e+01,-2.479802302286207905e+01,3.916473651577764281e-01,3.053000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,7.400352576242707414e+01,-2.399305582686038463e+01,-1.046993556668784908e-02,3.062999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000711e+01,7.360067586714984600e+01,-2.321438527464708912e+01,-3.862905925027557141e-01,3.073000000000000043e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,7.412438073101023406e+01,-2.425280873358802936e+01,1.284280025777939094e-01,3.060000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,7.557464035400826674e+01,-2.705008898422591557e+01,1.475448630217649271e+00,3.023999999999999844e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,7.412438073101023406e+01,-2.414792249164521820e+01,2.354176063498392146e-02,3.060000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000711e+01,7.440637565770430228e+01,-2.469193163438869831e+01,2.855559766843971947e-01,3.053000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,7.360067586714984600e+01,-2.311454709458102741e+01,-4.861287725688189232e-01,3.073000000000000043e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,4.999999999999999289e+01,7.424523569959340819e+01,-2.439330608824351643e+01,1.480703886501073541e-01,3.057000000000000028e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,7.388267079384390001e+01,-2.368220324325543658e+01,-2.004675505884631059e-01,3.066000000000000014e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,7.412438073101023406e+01,-2.416292605295828366e+01,3.854532194805077028e-02,3.060000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,4.999999999999999289e+01,7.347982089856667187e+01,-2.291343698263746020e+01,-5.663839159292122227e-01,3.076000000000000156e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
