t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.288193667218753546e+02,-7.881936672187535464e+01,0.000000000000000000e+00,2.589000000000000057e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.284181852621373707e+02,-7.805486488035197112e+01,-3.633203817853978834e-01,2.598999999999999844e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,4.999999999999999289e+01,1.285385397000587488e+02,-7.831850341138485305e+01,-2.200362886739004042e-01,2.596000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.285385397000587488e+02,-7.833926910450367131e+01,-1.992705955550755914e-01,2.596000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,4.999999999999999289e+01,1.285385397000587488e+02,-7.835807505719375854e+01,-1.804646428649955836e-01,2.596000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.288193667218753546e+02,-7.891025750696149998e+01,9.089078508614378826e-02,2.589000000000000057e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000711e+01,1.286588941379801554e+02,-7.859587904818728532e+01,-6.301508979286356282e-02,2.592999999999999972e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.999999999999999289e+01,1.284181852621373707e+02,-7.814312492603862381e+01,-2.750603360987537993e-01,2.598999999999999844e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.282978308242159358e+02,-7.793973290325412506e+01,-3.580979209618085912e-01,2.601999999999999957e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.281774763862945292e+02,-7.774417746513026373e+01,-4.332989211642626626e-01,2.605000000000000071e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.281774763862945292e+02,-7.778506959469599735e+01,-3.924067915985351984e-01,2.605000000000000071e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.281774763862945292e+02,-7.782210257257972330e+01,-3.553738137148086396e-01,2.605000000000000071e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.280170038023993300e+02,-7.754983986554967146e+01,-4.671639368496571798e-01,2.608999999999999986e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000711e+01,1.277762949265565453e+02,-7.713522686540811435e+01,-6.410680611484260716e-01,2.614999999999999858e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,1.277762949265565453e+02,-7.719572698884829265e+01,-5.805679377082543224e-01,2.614999999999999858e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.278966493644779376e+02,-7.747986802928224392e+01,-4.167813351956940471e-01,2.612000000000000099e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,4.999999999999999289e+01,1.272547590288971122e+02,-7.629599838262220146e+01,-9.587606462749151959e-01,2.628000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.272547590288971122e+02,-7.638648040935942163e+01,-8.682786195376928084e-01,2.628000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.271344045909757199e+02,-7.623907273761368231e+01,-8.953318533620369113e-01,2.630999999999999872e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.267332231312377075e+02,-7.555906689726566583e+01,-1.174156233972041719e+00,2.641000000000000014e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.266128686933163010e+02,-7.544052610339510068e+01,-1.172342589921198108e+00,2.644000000000000128e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.263320416714996810e+02,-7.501601341216702679e+01,-1.316028259332655104e+00,2.651000000000000156e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000711e+01,1.263320416714996810e+02,-7.514021219380300920e+01,-1.191829477696666473e+00,2.651000000000000156e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.256901513359188698e+02,-7.402948689972448904e+01,-1.660664436194378979e+00,2.667000000000000171e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,4.999999999999999289e+01,1.254494424600760709e+02,-7.372750925285089352e+01,-1.721933207225182949e+00,2.673000000000000043e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,4.999999999999999289e+01,1.255697968979974775e+02,-7.411936543911883746e+01,-1.450431458878645996e+00,2.669999999999999929e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,1.250482610003380586e+02,-7.326239598724980340e+01,-1.785865013088256736e+00,2.682999999999999829e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,1.248075521244952455e+02,-7.297223401302611023e+01,-1.835318111469135705e+00,2.689000000000000057e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,1.245267251026786397e+02,-7.261028893875217705e+01,-1.916436163926461322e+00,2.696000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,1.242860162268358408e+02,-7.233244947944102421e+01,-1.953566747394815062e+00,2.701999999999999957e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,1.242860162268358408e+02,-7.251681528477263328e+01,-1.769200942063208659e+00,2.701999999999999957e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,1.241656617889144343e+02,-7.245443120884469579e+01,-1.711230580069741603e+00,2.705000000000000071e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,1.232429444315170031e+02,-7.085757255798020537e+01,-2.385371873536799026e+00,2.728000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,1.231225899935956107e+02,-7.085333896508777229e+01,-2.269251028507841994e+00,2.730999999999999872e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,1.230022355556742042e+02,-7.083814658968219646e+01,-2.164088965992011282e+00,2.733999999999999986e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,1.230022355556742042e+02,-7.104238020778427654e+01,-1.959855347889928545e+00,2.733999999999999986e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,1.221998726361981795e+02,-6.969833581012095181e+01,-2.501536826077227715e+00,2.753999999999999915e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,1.219591637603553664e+02,-6.947571460988453396e+01,-2.483449150470835143e+00,2.760000000000000142e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,1.216783367385387606e+02,-6.917493622015071253e+01,-2.503400518388044560e+00,2.767000000000000171e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,1.213172734247745410e+02,-6.872314035145726052e+01,-2.594133073317281379e+00,2.776000000000000156e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,1.209160919650365429e+02,-6.820345708797184159e+01,-2.712634877064703964e+00,2.785999999999999943e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,4.999999999999999289e+01,1.203945560673771382e+02,-6.746560675501520166e+01,-2.928949312361942781e+00,2.798999999999999844e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000711e+01,1.202742016294557317e+02,-6.751267271070622655e+01,-2.761528918749498906e+00,2.801999999999999957e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
