t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,2.272073409363574825e+01,2.727926590636425175e+01,0.000000000000000000e+00,4.335999999999999943e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,2.284158906221892238e+01,2.704545933484062914e+01,1.129516029404481620e-01,4.332999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,2.364728885277336445e+01,2.549413537946816177e+01,8.585757677584725522e-01,4.313000000000000256e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,2.364728885277336445e+01,2.555028233233348089e+01,8.024288148931556508e-01,4.313000000000000256e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,2.364728885277336445e+01,2.560275752967710261e+01,7.499536175495330470e-01,4.313000000000000256e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,4.999999999999999289e+01,2.376814382135653858e+01,2.541799451609788818e+01,8.138616625455727949e-01,4.310000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,2.465441359096643836e+01,2.375663584520761518e+01,1.588950563825946460e+00,4.288000000000000256e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,4.999999999999999289e+01,2.493640851766049948e+01,2.331499732319244345e+01,1.748594159147055738e+00,4.281000000000000227e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,2.493640851766049948e+01,2.342934743359739613e+01,1.634244048742103272e+00,4.281000000000000227e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,2.517811845482684774e+01,2.306860642347175272e+01,1.753275121701400430e+00,4.275000000000000000e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,-1.498601610431293452e+01,5.088497991723276925e+01,-3.589896381291983118e+01,4.271999999999999886e+01,3.900000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00
