t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,4.541374124234285858e+01,4.586258757657141416e+00,0.000000000000000000e+00,4.667999999999999972e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,4.541374124234285858e+01,4.586258757657141416e+00,0.000000000000000000e+00,4.667999999999999972e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,4.541374124234285858e+01,4.586258757657141416e+00,0.000000000000000000e+00,4.667999999999999972e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,4.617598601584506923e+01,3.133705258762643719e+00,6.903087253922869371e-01,4.649000000000000199e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,4.657716747558308867e+01,2.434350576533401700e+00,9.884819478835098483e-01,4.639000000000000057e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,4.669752191350449522e+01,2.298286967366287570e+00,1.004191119129216991e+00,4.635999999999999943e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,4.669752191350449522e+01,2.393056447156009625e+00,9.094216393394952691e-01,4.635999999999999943e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,4.681787635142590176e+01,2.249531604594172673e+00,9.325920439799255668e-01,4.632999999999999829e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,4.733941224908529932e+01,1.343691603056184736e+00,1.316896147858515942e+00,4.620000000000000284e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,4.786094814674472531e+01,4.741198967777251472e-01,1.664931956477549546e+00,4.607000000000000028e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,4.786094814674472531e+01,6.312460975526172913e-01,1.507805755702657402e+00,4.607000000000000028e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,4.798130258466613185e+01,5.441931260737908893e-01,1.474504289260077261e+00,4.603999999999999915e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,4.814177516856133110e+01,3.775471796024485460e-01,1.480677651836220354e+00,4.600000000000000000e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,4.838248404440414419e+01,5.858346942103054289e-02,1.558932486174825272e+00,4.593999999999999773e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,4.826212960648273764e+01,4.350566342252040197e-01,1.302813759292058338e+00,4.596999999999999886e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,4.850283848232555783e+01,9.930720641624013467e-02,1.397854311258202031e+00,4.590999999999999659e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,4.930520140180156119e+01,-1.297775447479645905e+00,1.992574045678084715e+00,4.571000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,4.902437437998494829e+01,-5.745770803678151850e-01,1.550202700382866894e+00,4.578000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,4.902437437998494829e+01,-4.282783323652432639e-01,1.403903952380294973e+00,4.578000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,4.866331106622075708e+01,3.922652826693946437e-01,9.444236511098482723e-01,4.586999999999999744e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,4.914472881790636194e+01,-4.360079392481130967e-01,1.291279121341751157e+00,4.575000000000000000e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,4.914472881790636194e+01,-3.141448314574337708e-01,1.169416013551071831e+00,4.575000000000000000e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,4.902437437998494829e+01,2.556812627372417879e-02,9.500574937413275300e-01,4.578000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,4.930520140180156119e+01,-4.199224869143027838e-01,1.114721085112741594e+00,4.571000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,4.930520140180156119e+01,-3.147218579360506752e-01,1.009520456134489486e+00,4.571000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,4.902437437998494829e+01,3.157018614899373965e-01,6.599237585251143123e-01,4.578000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,4.902437437998494829e+01,3.779814715212778120e-01,5.976441484937738968e-01,4.578000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,4.930520140180156119e+01,-1.007677801508528592e-01,7.955663783492916696e-01,4.571000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,4.914472881790636194e+01,2.801136959493502054e-01,5.751574861442878550e-01,4.575000000000000000e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,4.930520140180156119e+01,2.859284164598052680e-02,6.662057565524582836e-01,4.571000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,4.914472881790636194e+01,3.972660452376678419e-01,4.580051368559702185e-01,4.575000000000000000e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,4.902437437998494829e+01,6.698403503589440700e-01,3.057852696561075834e-01,4.578000000000000114e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,4.890401994206354175e+01,9.280490657499428364e-01,1.679309921865154154e-01,4.581000000000000227e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,4.866331106622075708e+01,1.402598481276275955e+00,-6.590954749703298310e-02,4.586999999999999744e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,4.878366550414213521e+01,1.167027784655017442e+00,4.930671120284726983e-02,4.584000000000000341e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,4.930520140180156119e+01,1.778286596407961939e-01,5.169699385576426165e-01,4.571000000000000085e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,4.838248404440414419e+01,1.984971388899236189e+00,-3.674554333033803744e-01,4.593999999999999773e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,4.878366550414213521e+01,1.185791327665773220e+00,3.054316819209157430e-02,4.584000000000000341e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,4.866331106622075708e+01,1.418024359469121531e+00,-8.133542568987865706e-02,4.586999999999999744e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,4.866331106622075708e+01,1.410348414288696617e+00,-7.365948050945379799e-02,4.586999999999999744e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,4.826212960648273764e+01,2.167898719877909386e+00,-4.300283263606468065e-01,4.596999999999999886e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,5.000000000000000000e+01,4.814177516856133110e+01,2.356665801710964292e+00,-4.984409702722955027e-01,4.600000000000000000e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,5.000000000000000000e+01,4.798130258466613185e+01,2.615426696442866294e+00,-5.967292811089981441e-01,4.603999999999999915e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,5.000000000000000000e+01,4.798130258466613185e+01,2.559110998694978267e+00,-5.404135833611101170e-01,4.603999999999999915e+01,5.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
