t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,8.854640698193506410e+01,-3.854640698193506410e+01,0.000000000000000000e+00,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,8.854640698193506410e+01,-3.854640698193506410e+01,0.000000000000000000e+00,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,8.854640698193506410e+01,-3.854640698193506410e+01,0.000000000000000000e+00,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,8.931182178296180041e+01,-4.002718193491794807e+01,7.153601519561493260e-01,2.682999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,8.854640698193506410e+01,-3.849962567940836067e+01,-4.678130252670587019e-02,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,8.878811691910139814e+01,-3.897029810701330632e+01,1.821811879119075717e-01,2.696000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,8.878811691910139814e+01,-3.895838428536266207e+01,1.702673662612657346e-01,2.696000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,8.878811691910139814e+01,-3.894724957349799865e+01,1.591326543966021245e-01,2.696000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,8.866726195051823822e+01,-3.870303644965687795e+01,3.577449913864112763e-02,2.698999999999999844e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,8.854640698193506410e+01,-3.846689038848965936e+01,-7.951659344540790153e-02,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,8.866726195051823822e+01,-3.870589698381064636e+01,3.863503329241096962e-02,2.698999999999999844e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,8.866726195051823822e+01,-3.870337042823491913e+01,3.610847771667850814e-02,2.698999999999999844e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,8.842555201335188997e+01,-3.823339595486304887e+01,-1.921560584888433176e-01,2.705000000000000071e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
