t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,9.128578626982022115e+01,-4.128578626982022115e+01,0.000000000000000000e+00,2.633999999999999986e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,9.100379134312615292e+01,-4.074447709621398417e+01,-2.593142469121713090e-01,2.641000000000000014e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,9.100379134312615292e+01,-4.076533358276871155e+01,-2.384577603574403737e-01,2.641000000000000014e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,9.112464631170932705e+01,-4.101650224067503103e+01,-1.081440710342932154e-01,2.637999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,9.112464631170932705e+01,-4.102520020228091369e+01,-9.944610942840992340e-02,2.637999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,9.164835117556972932e+01,-4.203848705741409475e+01,3.901358818443685372e-01,2.625000000000000000e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,9.035923151068259074e+01,-3.953255244443505489e+01,-8.266790662475380635e-01,2.657000000000000028e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,9.100379134312615292e+01,-4.083631984810406834e+01,-1.674714950220864695e-01,2.641000000000000014e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,9.112464631170932705e+01,-4.108177912403015597e+01,-4.286718767916972150e-02,2.637999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,9.076208140595981888e+01,-4.038925796826888615e+01,-3.728234376909307368e-01,2.646999999999999886e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,9.112464631170932705e+01,-4.111521286722859969e+01,-9.433444480726638215e-03,2.637999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,9.076208140595981888e+01,-4.042000265591486396e+01,-3.420787500449534169e-01,2.646999999999999886e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,9.100379134312615292e+01,-4.091149513258714165e+01,-9.229621053901138072e-02,2.641000000000000014e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,9.048008647926576486e+01,-3.991362999518060661e+01,-5.664564840851586958e-01,2.653999999999999915e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,9.112464631170932705e+01,-4.119646785544529877e+01,7.182154373597215979e-02,2.637999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,9.023837654209941661e+01,-3.948943388977082947e+01,-7.489426523285844794e-01,2.660000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,9.023837654209941661e+01,-3.954967089003039149e+01,-6.887056520690261197e-01,2.660000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,9.035923151068259074e+01,-3.983705271096804523e+01,-5.221787997145426186e-01,2.657000000000000028e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,9.011752157351625669e+01,-3.941507194135014203e+01,-7.024496321661137799e-01,2.662999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,8.983552664682220268e+01,-3.893026036277814228e+01,-9.052662840440625081e-01,2.669999999999999929e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,8.995638161540534838e+01,-3.923506002312432628e+01,-7.213215922810187752e-01,2.667000000000000171e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,8.983552664682220268e+01,-3.906108583255710442e+01,-7.744408142651010296e-01,2.669999999999999929e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,8.919096681437862628e+01,-3.788609552331333674e+01,-1.304871291065291095e+00,2.685999999999999943e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,8.971467167823902855e+01,-3.899633398983275612e+01,-7.183376884062748768e-01,2.673000000000000043e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,8.907011184579545215e+01,-3.781683134042994965e+01,-1.253280505365504727e+00,2.689000000000000057e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,8.866726195051823822e+01,-3.714433310684814415e+01,-1.522928843670095844e+00,2.698999999999999844e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,8.854640698193506410e+01,-3.703483169808847464e+01,-1.511575283846589013e+00,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,8.878811691910139814e+01,-3.762038606693784715e+01,-1.167730852163548105e+00,2.696000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,5.000000000000000000e+01,8.790184714949148770e+01,-3.601304854365639585e+01,-1.888798605835093847e+00,2.717999999999999972e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,5.000000000000000000e+01,8.854640698193506410e+01,-3.740224157341695133e+01,-1.144165408518115878e+00,2.701999999999999957e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,5.000000000000000000e+01,8.826441205524099587e+01,-3.695295692504718232e+01,-1.311455130193813545e+00,2.708999999999999986e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,5.000000000000000000e+01,8.814355708665782174e+01,-3.682644681462797820e+01,-1.317110272029845541e+00,2.712000000000000099e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,5.000000000000000000e+01,8.737814228563109964e+01,-3.546311343271396765e+01,-1.915028852917131097e+00,2.730999999999999872e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.000000000000000000e+01,8.709614735893703141e+01,-3.507582886052623650e+01,-2.020318498410793584e+00,2.737999999999999901e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,5.000000000000000000e+01,8.673358245318752324e+01,-3.454235290635344313e+01,-2.191229546834081887e+00,2.746999999999999886e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,5.000000000000000000e+01,8.761985222279743368e+01,-3.641984956371169346e+01,-1.200002659085743550e+00,2.725000000000000000e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,5.000000000000000000e+01,8.761985222279743368e+01,-3.651636504491986557e+01,-1.103487177877570558e+00,2.725000000000000000e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,5.000000000000000000e+01,8.697529239035385729e+01,-3.536783973380206447e+01,-1.607452656551795922e+00,2.741000000000000014e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,5.000000000000000000e+01,8.661272748460436333e+01,-3.480115723204396261e+01,-1.811570252560402272e+00,2.750000000000000000e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,5.000000000000000000e+01,8.620987758932712097e+01,-3.417356190196497323e+01,-2.036315687362144633e+00,2.760000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,5.000000000000000000e+01,8.620987758932712097e+01,-3.433734152942617612e+01,-1.872536059900947736e+00,2.760000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
