t,MV,MVP,MVI,MVD,PV,SP,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,5.204820646981806931e+01,-2.048206469818069309e+00,0.000000000000000000e+00,3.607999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,5.140364663737448581e+01,-8.109283587180828867e-01,-5.927182786564029193e-01,3.624000000000000199e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,5.220934642792895630e+01,-2.405197966861007508e+00,1.958515389320514277e-01,3.603999999999999915e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,5.204820646981806931e+01,-2.080126219386955633e+00,3.191974956888615766e-02,3.607999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,5.152450160595765993e+01,-1.072270468149010503e+00,-4.522311378086494305e-01,3.621000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,5.140364663737448581e+01,-8.766534966218105795e-01,-5.269931407526752265e-01,3.624000000000000199e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,5.152450160595765993e+01,-1.151028879007931049e+00,-3.734727269497288282e-01,3.621000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,5.140364663737448581e+01,-9.490774165813268270e-01,-4.545692207931589790e-01,3.624000000000000199e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,5.152450160595765993e+01,-1.217627787303556142e+00,-3.068738186541037916e-01,3.621000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,5.104108173162499185e+01,-3.143508778510251123e-01,-7.267308537739667340e-01,3.632999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,5.220934642792895630e+01,-2.615367973082924458e+00,4.060215451539682663e-01,3.603999999999999915e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,5.116193670020816597e+01,-5.721349775653888914e-01,-5.898017226427770821e-01,3.629999999999999716e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,5.087994177351410485e+01,-7.826319640764234364e-02,-8.016785771064625088e-01,3.636999999999999744e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,5.128279166879131168e+01,-9.160405343365749520e-01,-3.667511344547366714e-01,3.627000000000000313e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000000e+01,5.075908680493093073e+01,5.975036110795961530e-02,-8.188371660388903406e-01,3.639999999999999858e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,5.051737686776458247e+01,4.578710794473066503e-01,-9.752479472118891213e-01,3.646000000000000085e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,5.104108173162499185e+01,-6.258559827776646323e-01,-4.152257488473272140e-01,3.632999999999999829e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,5.023538194107052135e+01,8.873453026337558835e-01,-1.122727243704277234e+00,3.653000000000000114e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,5.011452697248734722e+01,1.029034681735430556e+00,-1.143561654222777779e+00,3.656000000000000227e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,4.971167707721014040e+01,1.710357535525737438e+00,-1.422034612735877834e+00,3.665999999999999659e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,4.983253204579328610e+01,1.363994514015983928e+00,-1.196526559809270029e+00,3.663000000000000256e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,5.011452697248734722e+01,7.264494397440516282e-01,-8.409764122313988510e-01,3.656000000000000227e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,4.959082210862696627e+01,1.664098685635438279e+00,-1.254920794262404549e+00,3.668999999999999773e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,4.894626227618338277e+01,2.800444283445282068e+00,-1.746706559628664612e+00,3.685000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,4.959082210862696627e+01,1.422679630206735935e+00,-1.013501738833702204e+00,3.668999999999999773e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,4.894626227618338277e+01,2.578442415246211095e+00,-1.524704691429593861e+00,3.685000000000000142e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,5.000000000000000000e+01,4.866426734948932165e+01,2.997120521429807560e+00,-1.661387870919129206e+00,3.692000000000000171e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,5.000000000000000000e+01,4.854341238090614752e+01,3.095485755164048669e+00,-1.638898136070195966e+00,3.695000000000000284e+01,4.900000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
